央卫频晴,#genre#
CCTV-01频晴,P2p://66.42.60.221:6001/686b43630002b87f04c8bc6a7f49d3dd.ts
CCTV-01频晴,P2p://66.42.60.221:6001/686b803f0008205e00901d290179a302.ts
CCTV-01频晴,P2p://66.42.60.221:6001/684f94e8000983580d40136db1d1309c.ts
CCTV-01频晴,P2p://66.42.60.221:6001/6853c7ef0007715203e6a02b4db567f8.ts
CCTV-02频晴,P2p://66.42.60.221:6001/686b43870001f35604c948d70f6cd91b.ts
CCTV-02频晴,P2p://66.42.60.221:6001/686b806f00085bae0090d8b9900a97f7.ts
CCTV-02频晴,P2p://66.42.60.221:6001/684f9503000030bf0d407a82cac6f6b4.ts
CCTV-02频晴,P2p://66.42.60.221:6001/6853c81300067b9603e72c8cefd5debd.ts
CCTV-03频晴,P2p://66.42.60.221:6001/68623ed400022d2b0075143c7e206ee2.ts
CCTV-03频晴,P2p://66.42.60.221:6001/686b3db60003618004b290cdbf911fbd.ts
CCTV-03频晴,P2p://66.42.60.221:6001/686b808e0007712a009151952454c004.ts
CCTV-03频晴,P2p://66.42.60.221:6001/684f95160004147c0d40c5b97f87e3be.ts
CCTV-03频晴,P2p://66.42.60.221:6001/6853c85300018b9003e82549f0400f19.ts
CCTV-04频晴,P2p://66.42.60.221:6001/686b36c20006fe690497689acbffd6cc.ts
CCTV-04频晴,P2p://66.42.60.221:6001/686b812b000e39330093b899ad62fabe.ts
CCTV-04频晴,P2p://66.42.60.221:6001/68526a3a0003af7218515a3f685f1ab8.ts
CCTV-05频晴,P2p://66.42.60.221:6001/68623eed000825440075776b67683466.ts
CCTV-05频晴,P2p://66.42.60.221:6001/686b36e2000342810497e4a5c89c9692.ts
CCTV-05频晴,P2p://66.42.60.221:6001/686b81520004694600944e6e92b5e51a.ts
CCTV-05频晴,P2p://66.42.60.221:6001/6853c8f500005c4d03ea9dcb6afc7d8f.ts
CCTV-5+频晴,P2p://66.42.60.221:6001/686b4c37000533d204eb392c8b071c82.ts
CCTV-5+频晴,P2p://66.42.60.221:6001/686bbd2f00064dcc017e26320c9b4e8f.ts
CCTV-5+频晴,P2p://66.42.60.221:6001/685d6d530007cf20023c25e28fc3caf2.ts
CCTV-06频晴,P2p://66.42.60.221:6001/6861f3950004fbd70475842e2ecd0ead.ts
CCTV-06频晴,P2p://66.42.60.221:6001/686b4bf60000189f04ea39f67fcd4d05.ts
CCTV-06频晴,P2p://66.42.60.221:6001/686b817f000460640094fe3420689a21.ts
CCTV-06频晴,P2p://66.42.60.221:6001/684eec0e0006ce070aac7f2b1e243e2a.ts
CCTV-06频晴,P2p://66.42.60.221:6001/6853c911000821e603eb0d29309cfd9a.ts
CCTV-07频晴,P2p://66.42.60.221:6001/6864afc3000bf7af04d7de9c55494a76.ts
CCTV-07频晴,P2p://66.42.60.221:6001/686b3e3a0004b73704b494c41b000f98.ts
CCTV-07频晴,P2p://66.42.60.221:6001/686b44210002bdcb04cba29bcbd9a6a0.ts
CCTV-07频晴,P2p://66.42.60.221:6001/686b81a300056ffd00958b19c0989ba0.ts
CCTV-08频晴,P2p://66.42.60.221:6001/68623f0f00046d0e0075fb4726cb5c96.ts
CCTV-08频晴,P2p://66.42.60.221:6001/686b4c5b000ac81d04ebc73ac552fc00.ts
CCTV-08频晴,P2p://66.42.60.221:6001/686b81d3000189560096459acd96d8f4.ts
CCTV-08频晴,P2p://66.42.60.221:6001/684f952c000c458d0d411dc2b683b6b1.ts
CCTV-09频晴,P2p://66.42.60.221:6001/68623e6a00058c090073770937ebf265.ts
CCTV-09频晴,P2p://66.42.60.221:6001/6864afee000d1ff204d886e0aa25bed7.ts
CCTV-09频晴,P2p://66.42.60.221:6001/686b95aa0001dae000e3c5869e1b2f66.ts
CCTV-10频晴,P2p://66.42.60.221:6001/685d6d98000ea26e023d3529520496be.ts
CCTV-10频晴,P2p://66.42.60.221:6001/68623e83000e11000073dadfc79e1834.ts
CCTV-10频晴,P2p://66.42.60.221:6001/686b43ad000161ae04c9dd220abbf28e.ts
CCTV-10频晴,P2p://66.42.60.221:6001/686b95c4000327ca00e42b6c3318e661.ts
CCTV-11频晴,P2p://66.42.60.221:6001/686b4cae000d8da804ed0c27fdc90e9a.ts
CCTV-11频晴,P2p://66.42.60.221:6001/686bbc27000c8da0017a208c2b60729c.ts
CCTV-11频晴,P2p://66.42.60.221:6001/68526a8a0008b4a3185294081f98ce28.ts
CCTV-12频晴,P2p://66.42.60.221:6001/686b4c14000b377604eab1feb7930aa6.ts
CCTV-12频晴,P2p://66.42.60.221:6001/686bbc550003a8b0017ad1f519c58217.ts
CCTV-12频晴,P2p://66.42.60.221:6001/6853c61c0000b95f03df7e3b46f6b848.ts
CCTV-13频晴,P2p://66.42.60.221:6001/68623ea3000a2227007456ddb95d8e17.ts
CCTV-13频晴,P2p://66.42.60.221:6001/686bbc7100084e48017b40855b114e4c.ts
CCTV-13频晴,P2p://66.42.60.221:6001/6853c92a0007616c03eb6e9f055ee807.ts
CCTV-14频晴,P2p://66.42.60.221:6001/686b3dd8000ca5f804b317fc9166693e.ts
CCTV-14频晴,P2p://66.42.60.221:6001/686bbc930005a09d017bc4a67b90c871.ts
CCTV-14频晴,P2p://66.42.60.221:6001/6853c6540001528003e059224bd6a445.ts
CCTV-15频晴,P2p://66.42.60.221:6001/6864b00c000b747e04d8fba2c27772aa.ts
CCTV-15频晴,P2p://66.42.60.221:6001/686b44030000919304cb2cdc75455f0f.ts
CCTV-15频晴,P2p://66.42.60.221:6001/686bbcb3000af975017c430495b4b886.ts
CCTV-16频晴,P2p://66.42.60.221:6001/686b36ff0000430e04985528d6ddc157.ts
CCTV-16频晴,P2p://66.42.60.221:6001/686bbcd8000e8416017cd47436f97686.ts
CCTV-16频晴,P2p://66.42.60.221:6001/6853c67d000af87803e0fbc38e7b57ce.ts
CCTV-17频晴,P2p://66.42.60.221:6001/686b3e1b000b39ad04b41d574d5f56fd.ts
CCTV-17频晴,P2p://66.42.60.221:6001/686bbd020007f940017d76d7fcc3fd2d.ts
CCTV-17频晴,P2p://66.42.60.221:6001/6853c7a9000331b103e58da5c268b231.ts
CCTV-4K频晴,P2p://66.42.60.221:6001/686b80050003ae31008f39764595a000.ts
CCTV-8K频晴,P2p://66.42.60.221:6001/686b801d000df1a8008f99d7fb4b11c8.ts
重温经典频晴,P2p://66.42.60.221:6001/6871191e000583db01d3d37d9fe57193.ts
重温经典频晴,P2p://66.42.60.221:6001/68711e40000a896e01e7e1965f486795.ts
重温经典频晴,P2p://66.42.60.221:6001/687126a20000f62602089df2bfe24007.ts
广东珠江频晴,P2p://66.42.60.221:6001/686b4452000d8c8b04cc64c7a0260c7c.ts
广东体育频晴,P2p://66.42.60.221:6001/684f9541000878190d416ed0c14bdf1a.ts
兵器科技频晴,P2p://66.42.60.221:6001/686b3727000c1d5c0498f471083d315c.ts
第一剧场频晴,P2p://66.42.60.221:6001/685bafcf00080fff009637682d1c849a.ts
怀旧剧场频晴,P2p://66.42.60.221:6001/686b3e61000c724004b52f17c003a755.ts
风云剧场频晴,P2p://66.42.60.221:6001/685bafee000cec3b0096b1bfc95d06dc.ts
风云音乐频晴,P2p://66.42.60.221:6001/686b374f0009144b04998fea171f87f2.ts
风云足球频晴,P2p://66.42.60.221:6001/686dcf0d0003d952046d9277fb18051d.ts
高尔网球频晴,P2p://66.42.60.221:6001/686b44a900007e9104cdb54826a6317e.ts
央视台球频晴,P2p://66.42.60.221:6001/685bb008000bd53c009717084cb60934.ts
女性时尚频晴,P2p://66.42.60.221:6001/686b44c5000ca25b04ce25c364fa6e0c.ts
北京卫视频晴,P2p://66.42.60.221:6001/6864b08500071d0904dad32e30a033b7.ts
东方卫视频晴,P2p://66.42.60.221:6001/6864b0ac000797a004db6ba566579e4f.ts
东方卫视频晴,P2p://66.42.60.221:6001/686dcf7c0001fad1046f4395dde3e279.ts
浙江卫视频晴,P2p://66.42.60.221:6001/686dcf2d000ea3b7046e123adbac871a.ts
浙江卫视频晴,P2p://66.42.60.221:6001/685d5ea6000c37680202d33bac1d09cb.ts
江苏卫视频晴,P2p://66.42.60.221:6001/686dcf51000af3be046e9de91bb8f431.ts
江苏卫视频晴,P2p://66.42.60.221:6001/685d5ebf000d020002033517ca4e6d40.ts
湖南卫视频晴,P2p://66.42.60.221:6001/686b4c940003ac3804eca4100c00bbaf.ts
湖南卫视频晴,P2p://66.42.60.221:6001/685d5e830009074d020249b2bd93ff1f.ts
广东卫视频晴,P2p://66.42.60.221:6001/686ddcf20005302304a3d957e15e5958.ts
深圳卫视频晴,P2p://66.42.60.221:6001/686ddd1300073a5204a45ac5d0b82a48.ts
天津卫视频晴,P2p://66.42.60.221:6001/686ddd370000150304a4e590e933d517.ts
安徽卫视频晴,P2p://66.42.60.221:6001/6864b061000a80f404da476caa9b38e0.ts
山东卫视频晴,P2p://66.42.60.221:6001/68711e7c0004c32001e8ca7b1ecd60d8.ts
